t;p_eddy;flux;phi_imposed;fluxH;phiH_imposed;NI
5.7e-06;12745.3;-2.59801e-07;-2.59801e-07;-3.44803e-05;-3.44803e-05;-0.0242865
5.72e-06;11717;-2.43233e-07;-2.43233e-07;-3.15025e-05;-3.15025e-05;-0.0223751
5.74e-06;10681.6;-2.26762e-07;-2.26762e-07;-2.85247e-05;-2.85247e-05;-0.0203678
5.76e-06;9661.4;-2.10368e-07;-2.10368e-07;-2.55469e-05;-2.55469e-05;-0.0182654
5.78e-06;8674.37;-1.94036e-07;-1.94036e-07;-2.2569e-05;-2.2569e-05;-0.0160694
5.8e-06;7734.14;-1.77753e-07;-1.77753e-07;-1.95912e-05;-1.95912e-05;-0.0137824
5.82e-06;6850.49;-1.61509e-07;-1.61509e-07;-1.66134e-05;-1.66134e-05;-0.0114076
5.84e-06;6029.86;-1.45296e-07;-1.45296e-07;-1.36356e-05;-1.36356e-05;-0.00894863
5.86e-06;5275.85;-1.29108e-07;-1.29108e-07;-1.06577e-05;-1.06577e-05;-0.00640969
5.88e-06;4589.71;-1.1294e-07;-1.1294e-07;-7.6799e-06;-7.6799e-06;-0.00379514
5.9e-06;3970.89;-9.6787e-08;-9.6787e-08;-4.70207e-06;-4.70207e-06;-0.00110954
5.92e-06;3417.39;-8.0647e-08;-8.0647e-08;-1.72425e-06;-1.72425e-06;0.00164243
5.94e-06;2926.19;-6.4517e-08;-6.4517e-08;1.25358e-06;1.25358e-06;0.0044561
5.96e-06;2493.55;-4.83949e-08;-4.83949e-08;4.2314e-06;4.2314e-06;0.00732682
5.98e-06;2115.28;-3.22792e-08;-3.22792e-08;7.20923e-06;7.20923e-06;0.01025
6e-06;1786.94;-1.61686e-08;-1.61686e-08;1.01871e-05;1.01871e-05;0.0132213
